City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lavrentiya,65.5833,-171.0,7.3,96,100,8.95,RU,1645582506
Hilo,19.7297,-155.09,75.25,81,100,1.01,US,1645582502
Jamestown,42.097,-79.2353,56.3,72,100,11.5,US,1645582522
Port Hedland,-20.3167,118.5667,95.05,59,100,12.66,AU,1645582544
Hermanus,-34.4187,19.2345,62.8,73,0,3.71,ZA,1645582496
Fortuna,40.5982,-124.1573,44.65,73,0,9.22,US,1645582546
Lakatoro,-16.0999,167.4164,85.01,72,17,12.03,VU,1645582632
Saint-Philippe,-21.3585,55.7679,78.35,87,100,16.06,RE,1645582498
Khāsh,28.2211,61.2158,47.3,47,7,3.27,IR,1645582633
Karratha,-20.7377,116.8463,94.1,39,99,9.13,AU,1645582633
Rikitea,-23.1203,-134.9692,79.65,72,30,13.51,PF,1645582498
Zhigansk,66.7697,123.3711,-9.26,98,100,21.16,RU,1645582634
Punta Alta,-38.8759,-62.0736,64.99,82,30,7.31,AR,1645582634
San Luis,-33.295,-66.3356,65.91,67,100,7.49,AR,1645582489
Formosa do Rio Preto,-11.0483,-45.1931,72.86,85,62,0.74,BR,1645582635
Kyaikto,17.3,97.0167,77.41,48,66,2.86,MM,1645582635
Newburn,54.9876,-1.7442,43.77,76,17,20.71,GB,1645582636
Busselton,-33.65,115.3333,72.05,43,100,15.12,AU,1645582499
Makakilo City,21.3469,-158.0858,80.92,59,20,13.8,US,1645582636
Atyrau,47.1167,51.8833,32.02,100,100,6.71,KZ,1645582637
Albany,42.6001,-73.9662,58.62,94,100,3.0,US,1645582438
Castro,-24.7911,-50.0119,64.38,94,29,2.42,BR,1645582637
Montes Claros,-16.735,-43.8617,69.13,80,22,1.23,BR,1645582458
Saint-Pierre,-21.3393,55.4781,78.44,83,0,4.61,RE,1645582638
Yellowknife,62.456,-114.3525,-14.58,83,20,13.8,CA,1645582549
Leningradskiy,69.3833,178.4167,-21.06,96,98,10.02,RU,1645582638
Mataura,-46.1927,168.8643,66.47,40,17,4.99,NZ,1645582497
Padang,-0.9492,100.3543,84.25,76,22,3.44,ID,1645582639
Bredasdorp,-34.5322,20.0403,62.28,94,0,4.61,ZA,1645582521
Ushuaia,-54.8,-68.3,47.86,66,20,13.8,AR,1645582496
Punta Arenas,-53.15,-70.9167,51.91,82,75,8.05,CL,1645582490
Vrangel',42.7297,133.0839,18.86,44,92,14.45,RU,1645582639
Adelaide,-34.9333,138.6,92.16,31,0,4.0,AU,1645582640
Dikson,73.5069,80.5464,-15.48,100,65,6.11,RU,1645582640
Nassau,40.7507,-73.5829,61.34,81,100,20.71,US,1645582440
Inhambane,-23.865,35.3833,77.4,84,39,14.47,MZ,1645582641
